Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2013-14,"12,492",985,942,927,882,947,943,858,749,848,898,725,"1,129",907,752,"6,167",49.4,"6,325",50.6,"2,868",23,"2,162",17.3,"5,110",40.9,307,2.5,"2,045",16.4,"2,585",20.7,"1,306",10.5,"8,141",65.2,No Data
2,2013-14,"62,741","1,348","3,113","3,213","3,031","2,852","2,665","2,608","2,406","2,325","2,473","9,994","10,030","8,415","8,268","32,842",52.3,"29,899",47.7,"14,688",23.4,"10,796",17.2,"21,226",33.8,"1,731",2.8,"14,300",22.8,"9,506",15.2,"6,361",10.1,"35,468",56.5,No Data
3,2013-14,"23,098",860,"1,483","1,532","1,391","1,457","1,489","1,334","1,432","1,371","1,427","2,467","2,444","2,310","2,101","12,307",53.3,"10,791",46.7,"1,809",7.8,"5,825",25.2,"8,106",35.1,691,3,"6,667",28.9,"3,634",15.7,"1,394",6,"12,307",53.3,No Data
4,2013-14,"14,265","1,050","1,027","1,094","1,105","1,083","1,067","1,072","1,050","1,038","1,076","1,068",985,765,785,"7,322",51.3,"6,943",48.7,921,6.5,"3,815",26.7,"8,799",61.7,221,1.5,509,3.6,"3,274",23,"1,509",10.6,"11,619",81.5,No Data
5,2013-14,"13,150","1,178",840,849,878,916,858,759,849,917,960,"1,233","1,099",899,915,"6,385",48.6,"6,765",51.4,397,3,"6,920",52.6,"5,142",39.1,216,1.6,475,3.6,"2,576",19.6,"1,297",9.9,"11,069",84.2,No Data
6,2013-14,"25,091","1,394","2,007","2,195","2,095","2,094","2,117","1,775","1,678","1,908","2,038","1,717","1,542","1,102","1,429","12,160",48.5,"12,931",51.5,291,1.2,"1,883",7.5,"21,811",86.9,163,0.6,943,3.8,"4,119",16.4,"7,678",30.6,"21,546",85.9,No Data
7,2013-14,"20,195","1,161","1,265","1,367","1,342","1,358","1,300","1,292","1,343","1,347","1,315","2,135","1,913","1,515","1,542","9,507",47.1,"10,688",52.9,230,1.1,"5,501",27.2,"14,093",69.8,177,0.9,194,1,"4,450",22,"3,478",17.2,"18,596",92.1,No Data
8,2013-14,"30,453","1,975","2,262","2,462","2,296","2,249","2,042","2,139","2,113","2,142","2,242","2,489","2,163","1,758","2,121","14,993",49.2,"15,460",50.8,"1,467",4.8,"7,443",24.4,"19,355",63.6,333,1.1,"1,855",6.1,"6,671",21.9,"3,424",11.2,"24,391",80.1,No Data
9,2013-14,"36,813","1,898","3,060","3,192","3,132","3,023","2,781","2,638","2,807","2,880","2,921","2,382","2,360","2,027","1,712","18,064",49.1,"18,749",50.9,484,1.3,"11,216",30.5,"24,525",66.6,271,0.7,317,0.9,"7,347",20,"8,435",22.9,"33,772",91.7,No Data
10,2013-14,"57,339","2,210","4,456","4,778","4,550","4,270","4,113","4,013","3,714","3,673","4,005","4,932","4,639","3,845","4,141","28,119",49,"29,220",51,"4,323",7.5,"10,217",17.8,"38,804",67.7,667,1.2,"3,328",5.8,"10,895",19,"11,724",20.4,"47,430",82.7,No Data
